Server A Failure Times	Restoration Time	Server B Failure Times	Restoration Time	
----------------------------------------------------------------------------------------------------
68461.4			68471.4			62165.5			62175.5			
68804.3			68814.3			62791.2			62801.2			
68818.5			68828.5			63185			63195			
69005			69015			63797.5			63807.5			
69655.1			69665.1			63864.8			63874.8			
69740.5			69750.5			64377.3			64387.3			
69784.4			69794.4			65345.5			65355.5			
69823.2			69833.2			65389.6			65399.6			
70405.2			70415.2			66120.3			66130.3			
70599.2			70609.2			66229.7			66239.7			
70796.5			70806.5			66317.5			66327.5			
71302.7			71312.7			67030.9			67040.9			
71367			71377			68182.4			68192.4			
71985.2			71995.2			69061.3			69071.3			
72403.3			72413.3			69519.2			69529.2			
72483.4			72493.4			69891.8			69901.8			
72907.5			72917.5			69903.8			69913.8			
72968.6			72978.6			69958.1			69968.1			
73569.2			73579.2			71582.4			71592.4			
73877.4			73887.4			71609			71619			
73925.5			73935.5			71817.8			71827.8			
74148.2			74158.2			73521.4			73531.4			
74245.1			74255.1			74421.6			74431.6			
75258.5			75268.5			75157.2			75167.2			
76168.5			76178.5			75560.8			75570.8			
76278.8			76288.8			75743.2			75753.2			
77303			77313			76136.8			76146.8			
78036.8			78046.8			76733.9			76743.9			
78975.2			78985.2			76899			76909			
79535.3			79545.3			77040.3			77050.3			
79618			79628			77083.8			77093.8			
80385.1			80395.1			77138.2			77148.2			
81103.3			81113.3			77168.6			77178.6			
81461.9			81471.9			77353.7			77363.7			
81779.3			81789.3			77747.3			77757.3			
81907.4			81917.4			77961.6			77971.6			
82123			82133			77968			77978			
82266.1			82276.1			79058.9			79068.9			
82778.7			82788.7			79649.6			79659.6			
83210.2			83220.2			79772			79782			
83563.2			83573.2			80509.8			80519.8			
83792.8			83802.8			80607.3			80617.3			
83981.8			83991.8			80715.7			80725.7			
84653.2			84663.2			81010.3			81020.3			
84680.2			84690.2			81314			81324			
85074.6			85084.6			82210.8			82220.8			
85298.3			85308.3			82554.8			82564.8			
85450.3			85460.3			82659.1			82669.1			
85854.2			85864.2			82709.4			82719.4			
87250.4			87260.4			82842.7			82852.7			
87723.1			87733.1			83023.9			83033.9			
88362.5			88372.5			83305.1			83315.1			
88817.4			88827.4			85356.8			85366.8			
